Age,Gender,Lifestyle,Habit 01,Habit 02,Habit 03,Habit 04,Habit 05,Habit 06,Recommendation
24,Female,Worker,No Alcohol,Eat More Vegetables and Fruits,Sleep at least 8 hours ,Listen to podcast,No Screens After 10 pm,Practice Musical Instrument,Avoid excessive alcohol
24,Female,Worker,Exercise,Take Vitamins,Learn To Speak a Foreign Language,Listen to podcast,Take Vitamins,Yoga,Walking
24,Male,Worker,Exercise,No Sugar,No Smoking,Practice Musical Instrument,Duolingo,Read a book for 30 minutes,Swimming
24,Male,Worker,Be Grateful,No Screens After 10 pm,Set priorities for your day,Meditate,Save Money,Duolingo,Puzzles
24,Male,Worker,Exercise,No Soda,Clean for 15 Minutes,Meditate For At Least 10 Minutes,Eat Breakfast,Set priorities for your day,Running
24,Male,Worker,Stretch,No Screens After 10 pm,Write In Journal,Go to gym,No Smoking,No Sweets,Balanced Diet
24,Male,Worker,Meditate For At Least 10 Minutes,Make Bed,Practice Musical Instrument,Learn To Speak a Foreign Language,Take Vitamins,Yoga,Meditation
24,Male,Worker,Stretch,Meditate,Read a book for 30 minutes,Floss,Brush Teeth in the Morning,Write In Journal,Puzzles
24,Male,Worker,Daily skincare,Brush Teeth in the Morning,Draw,No Sugar,Set priorities for your day,No Soda,Breathing Exercises
25,Male,Worker,Drink more water,Go for a weekly hike,Paint,No Smoking,Pray,Clean for 15 Minutes,Drink plenty of water
25,Male,Worker,Take Vitamins,Write Three Positive Things About Today,No Sugar,Slow-Carb Diet from The 4-Hour Body,Make Bed,Clean for 15 Minutes,Breathing Exercises
25,Male,Uni Student,Set priorities for your day,Workout,Draw,Floss,Sleep at least 8 hours ,Exercise,Walking
25,Male,Uni Student,Set priorities for your day,Drink more water,No Alcohol,No Soda,Drink more water,Take a walk outside,Drink plenty of water
25,Male,Uni Student,Practice Musical Instrument,Go to gym,Brush Teeth in the Morning,Meditate For At Least 10 Minutes,No Smoking,Affirmations,Avoid smoking
25,Male,Freelancer,Meal preparation for the week – also housewife,Weekly social media detox,No Sugar,Yoga,No Coffee,Write In Journal,Maintain strong social connections
25,Male,Content creator,Weekly social media detox,Paint,Paint,Read a book for 30 minutes,Yoga,Read a book for 30 minutes,Maintain strong social connections
25,Male,Content creator,No Sweets,Learn To Speak a Foreign Language,Read a book for 30 minutes,Clean for 15 Minutes,Wake up early,Listen to podcast,Balanced Diet
25,Male,Freelancer,No Alcohol,Workout,"Walk 10,000 Steps",No Soda,Floss,Sleep by Midnight,Avoid excessive alcohol
25,Male,Uni Student,Eat More Vegetables and Fruits,Meditate For At Least 10 Minutes,No Sweets,No Alcohol,Drink more water,Practice Musical Instrument,Balanced Diet
25,Female,Uni Student,Yoga,Clean for 15 Minutes,Stretch,Sleep by Midnight,Draw,Floss,Deep breathing exercises
25,Female,Uni Student,Draw,Duolingo,Go for a weekly hike,Duolingo,Write Three Positive Things About Today,Clean for 15 Minutes,Spend time outdoors
25,Female,Uni Student,Take Vitamins,Take Vitamins,Floss,No Soda,Clean for 15 Minutes,Workout,Breathing Exercises
25,Female,Freelancer,Daily skincare,Intermittent fasting,Keep in touch with friends,"Walk 10,000 Steps",Write In Journal,Duolingo,Breathing Exercises
25,Female,Freelancer,Brush Teeth in the Morning,Drink more water,Workout,Meal preparation for the week – also housewife,No Smoking,Sleep by Midnight,Drink plenty of water
25,Female,Content creator,Be Grateful,Read a book for 30 minutes,Eat More Vegetables and Fruits,No Alcohol,Floss,Write In Journal,Avoid excessive alcohol
25,Female,Content creator,Practice Musical Instrument,No Sweets,Sleep by Midnight,Write Three Positive Things About Today,Listen to podcast,Sleep at least 8 hours ,Balanced Diet
25,Female,Content creator,Practice Musical Instrument,Be Grateful,Sleep by Midnight,Meditate For At Least 10 Minutes,Go to gym,Stretch,Fiber-rich diet
25,Female,Freelancer,Watch a TED talk,Write Three Positive Things About Today,No Coffee,Floss,Meditate,Keep in touch with friends,Puzzles
25,Female,Worker,Yoga,No Smoking,Write Three Positive Things About Today,Listen to podcast,Listen to podcast,Learn To Speak a Foreign Language,Yoga
25,Female,Worker,Weekly social media detox,Paint,Floss,Exercise,No Smoking,Clean for 15 Minutes,Walking
25,Female,Worker,Slow-Carb Diet from The 4-Hour Body,Write In Journal,Eat More Vegetables and Fruits,Practice Musical Instrument,Make Bed,Write In Journal,Listen to music and dance
26,Female,Worker,No Screens After 10 pm,Take a walk outside,No Sweets,No Smoking,Listen to podcast,Go to gym,Balanced Diet
26,Female,Worker,Eat Breakfast,Draw,No Sweets,Learn Something New,Floss,Go to gym,Balanced Diet
26,Female,Worker,Drink more water,Drink more water,Eat Breakfast,Duolingo,No Soda,Practice Musical Instrument,Drink plenty of water
26,Female,Worker,Take a walk outside,No Sweets,Wake up early,Learn Something New,Draw,Slow-Carb Diet from The 4-Hour Body,Balanced Diet
26,Female,Worker,Paint,Pray,Go for a weekly hike,Take a walk outside,Read a book for 30 minutes,Read a book for 30 minutes,Regular medical check-ups
26,Female,Worker,Write In Journal,Save Money,No Smoking,Sleep at least 8 hours ,No Sweets,No Smoking,Balanced Diet
26,Female,Worker,Affirmations,Drink more water,No Alcohol,Daily skincare,Stretch,Weekly social media detox,Maintain strong social connections
26,Female,Worker,Workout,Take Vitamins,No Screens After 10 pm,Go for a weekly hike,Set priorities for your day,Eat More Vegetables and Fruits,Spend time outdoors
26,Female,Worker,Brush Teeth in the Morning,Listen to podcast,Workout,Eat More Vegetables and Fruits,No Screens After 10 pm,Go to gym,Consume probiotics
26,Female,Worker,Wake up early,Workout,Practice Musical Instrument,Slow-Carb Diet from The 4-Hour Body,Brush Teeth in the Morning,Practice Musical Instrument,Listen to music and dance
26,Female,Housewife,Duolingo,Drink more water,No Smoking,No Alcohol,"Walk 10,000 Steps",Quality time with my children,Drink plenty of water
26,Female,Housewife,Yoga,Slow-Carb Diet from The 4-Hour Body,Slow-Carb Diet from The 4-Hour Body,No Alcohol,Write In Journal,Sleep at least 8 hours ,Yoga
26,Female,Housewife,No Soda,Weekly social media detox,Write Three Positive Things About Today,No Coffee,Duolingo,No Screens After 10 pm,Maintain strong social connections
26,Female,Housewife,No Sugar,No Coffee,No Alcohol,Quality time with my children,Clean for 15 Minutes,Duolingo,Avoid excessive alcohol
26,Female,Housewife,Clean for 15 Minutes,Cook Dinner,Floss,Meditate For At Least 10 Minutes,Listen to podcast,Learn Something New,Crafting
26,Female,Housewife,No Screens After 10 pm,Go for a weekly hike,Draw,Read a book for 30 minutes,Watch a TED talk,Stretch,Spend time outdoors
26,Male,Freelancer,No email before breakfast,Paint,Learn To Speak a Foreign Language,Draw,Make Bed,Weekly brunch with friends,Practice learning a new language
26,Male,Freelancer,Wake up early,Intermittent fasting,Pray,Read a book for 30 minutes,Meditate For At Least 10 Minutes,Affirmations,Practice gratitude
26,Male,Freelancer,No Screens After 10 pm,Practice Musical Instrument,Weekly brunch with friends,Brush Teeth in the Morning,Listen to podcast,No Soda,Listen to music and dance
26,Male,Freelancer,Eat Breakfast,Clean for 15 Minutes,Drink more water,Take Vitamins,Quality time with my children,No Coffee,Drink plenty of water
26,Male,Freelancer,Meditate For At Least 10 Minutes,Pray,Weekly social media detox,Drink more water,Meditate,Write In Journal,Reading
26,Male,Freelancer,Be Grateful,No Soda,Sleep by Midnight,Brush Teeth in the Morning,Bring Lunch to Work,Intermittent fasting,Breathing Exercises
26,Male,Worker,Write In Journal,Learn To Speak a Foreign Language,Draw,Save Money,Wake up early,No Screens After 10 pm,Practice learning a new language
26,Male,Worker,No Smoking,Be Grateful,Pray,Meditate,Eat Breakfast,Save Money,Playing musical instruments
26,Male,Worker,No Sugar,Be Grateful,Keep in touch with friends,Take a walk outside,Duolingo,Save Money,Regular medical check-ups
26,Male,Worker,No Sweets,Meditate,Save Money,Take Vitamins,Duolingo,No Screens After 10 pm,Balanced Diet
27,Male,Worker,No Alcohol,Drink more water,Sleep at least 8 hours ,Listen to podcast,Floss,Pray,Drink plenty of water
27,Male,Worker,Gardening- specially housewife & elders,Drink more water,Clean for 15 Minutes,No Soda,Paint,No Soda,Drink plenty of water
27,Male,Worker,Clean for 15 Minutes,Keep in touch with friends,No Soda,No Screens After 10 pm,Yoga,Paint,Mindfulness
27,Male,Worker,Read a book for 30 minutes,Workout,Duolingo,Brush Teeth in the Morning,Write In Journal,No Soda,Mindful Eating
27,Male,Freelancer,"Walk 10,000 Steps",No Smoking,Take a walk outside,Wake up early,Watch a TED talk,Draw,Avoid smoking
27,Male,Freelancer,Inbox Zero,Clean for 15 Minutes,Bring Lunch to Work,Quality time with my children,Draw,Write Three Positive Things About Today,Breathing Exercises
27,Male,Freelancer,Weekly brunch with friends,No email before breakfast,Stretch,Floss,Write In Journal,"Walk 10,000 Steps",Breathing Exercises
27,Male,Freelancer,Sleep by Midnight,No Screens After 10 pm,Wake up early,Eat More Vegetables and Fruits,Weekly social media detox,Listen to podcast,Maintain strong social connections
27,Male,Freelancer,Clean for 15 Minutes,Write Three Positive Things About Today,Intermittent fasting,Meal preparation for the week – also housewife,Bring Lunch to Work,Eat More Vegetables and Fruits,Breathing Exercises
27,Male,Freelancer,Drink water first thing in the morning,Take a walk outside,Keep in touch with friends,No Coffee,Practice Musical Instrument,Affirmations,Regular medical check-ups
27,Male,Worker,Drink more water,Go to gym,Learn Something New,No Sweets,No Screens After 10 pm,Duolingo,Balanced Diet
27,Male,Worker,Write Three Positive Things About Today,No Smoking,Take Vitamins,Be Grateful,Daily skincare,Listen to podcast,Avoid smoking
27,Male,Worker,Listen to podcast,Weekly social media detox,Slow-Carb Diet from The 4-Hour Body,Keep in touch with friends,Sleep by Midnight,Stretch,Maintain strong social connections
27,Female,Worker,Yoga,Drink more water,Weekly social media detox,Go for a weekly hike,Clean for 15 Minutes,Save Money,Maintain strong social connections
27,Female,Worker,Learn Something New,No Screens After 10 pm,Eat More Vegetables and Fruits,Take Vitamins,Weekly social media detox,No Sugar,Maintain strong social connections
27,Female,Worker,Set priorities for your day,Read a book for 30 minutes,Affirmations,Save Money,Daily skincare,No Sweets,Balanced Diet
27,Female,Worker,Set priorities for your day,Sleep by Midnight,No Sweets,Yoga,Clean for 15 Minutes,Duolingo,Balanced Diet
27,Female,Worker,Sleep at least 8 hours ,Make Bed,Sleep at least 8 hours ,Learn Something New,Affirmations,Eat Breakfast,Painting
27,Female,Worker,Read a book for 30 minutes,Weekly social media detox,Workout,Weekly social media detox,Be Grateful,Eat Breakfast,Maintain strong social connections
27,Female,Worker,Yoga,Meditate,Take Vitamins,Learn Something New,No Soda,Practice Musical Instrument,Playing musical instruments
27,Female,Housewife,No Sweets,Meditate For At Least 10 Minutes,No Sugar,Sleep by Midnight,Clean for 15 Minutes,Intermittent fasting,Balanced Diet
27,Female,Housewife,Meditate For At Least 10 Minutes,Go to gym,Affirmations,Go to gym,Save Money,No Smoking,Avoid smoking
27,Female,Housewife,Draw,Make Bed,Weekly social media detox,Learn Something New,Listen to podcast,Yoga,Maintain strong social connections
27,Female,Housewife,Read a book for 30 minutes,No Screens After 10 pm,Sleep by Midnight,Wake up early,No Alcohol,Weekly social media detox,Maintain strong social connections
27,Female,Housewife,Take Vitamins,Paint,Paint,Wake up early,No Sugar,Keep in touch with friends,Social Activities
27,Female,Housewife,Eat Breakfast,Brush Teeth in the Morning,Drink water first thing in the morning,Meditate,Wake up early,Unclutter,Playing musical instruments
28,Female,Housewife,Write In Journal,Learn To Speak a Foreign Language,Intermittent fasting,No Coffee,Intermittent fasting,No Sweets,Balanced Diet
28,Female,Housewife,Meditate For At Least 10 Minutes,Practice Musical Instrument,Paint,Unclutter,Drink water first thing in the morning,Eat More Vegetables and Fruits,Listen to music and dance
28,Female,Housewife,Drink water first thing in the morning,Write In Journal,Watch a TED talk,Learn Something New,Workout,Floss,Painting
28,Female,Housewife,No Sugar,Yoga,Stretch,Drink water first thing in the morning,Meditate For At Least 10 Minutes,Keep in touch with friends,Yoga
28,Female,Housewife,Be Grateful,Floss,Affirmations,Duolingo,No Smoking,Practice Musical Instrument,Avoid smoking
28,Female,Housewife,Sleep at least 8 hours ,Write Three Positive Things About Today,Affirmations,Cook Dinner,"Walk 10,000 Steps",Go to gym,Consume probiotics
28,Female,Housewife,Paint,Eat More Vegetables and Fruits,Duolingo,Drink more water,Brush Teeth in the Morning,Watch a TED talk,Drink plenty of water
28,Female,Housewife,No Sugar,Learn To Speak a Foreign Language,Watch a TED talk,No Coffee,No Soda,Draw,Practice learning a new language
28,Female,Housewife,Make Bed,Sleep by Midnight,Eat Breakfast,Go for a weekly hike,Write Three Positive Things About Today,Take Vitamins,Spend time outdoors
28,Female,Worker,Save Money,No Soda,Drink more water,Save Money,Paint,Meditate,Puzzles
28,Female,Worker,Go for a weekly hike,Duolingo,Read a book for 30 minutes,No Sugar,Learn To Speak a Foreign Language,Floss,Spend time outdoors
28,Female,Worker,Clean for 15 Minutes,Workout,No Screens After 10 pm,Duolingo,Slow-Carb Diet from The 4-Hour Body,Save Money,Breaks from screens and digital devices
28,Female,Worker,Affirmations,No Smoking,Make Bed,Meditate For At Least 10 Minutes,Floss,Draw,Avoid smoking
28,Female,Worker,Write In Journal,Take a walk outside,Draw,No Soda,No Alcohol,Sleep at least 8 hours ,Avoid excessive alcohol
28,Female,Worker,No Alcohol,Workout,No Soda,Pray,Eat More Vegetables and Fruits,Weekly social media detox,Maintain strong social connections
28,Male,Worker,Drink more water,Be Grateful,Set priorities for your day,Keep in touch with friends,Sleep at least 8 hours ,No Alcohol,Drink plenty of water
28,Male,Worker,No Sweets,Floss,Practice Musical Instrument,Yoga,Take Vitamins,No Alcohol,Balanced Diet
28,Male,Worker,Meditate,Meditate,Clean for 15 Minutes,Keep in touch with friends,Stretch,Draw,Reading
28,Male,Worker,No Sugar,Exercise,Eat Breakfast,Slow-Carb Diet from The 4-Hour Body,Be Grateful,Affirmations,Running
28,Male,Worker,Exercise,No Screens After 10 pm,Stretch,Duolingo,No Soda,No Soda,Strength training
28,Male,Worker,Meditate For At Least 10 Minutes,Learn Something New,Be Grateful,Brush Teeth in the Morning,Affirmations,Take Vitamins,Painting
28,Male,Worker,Learn To Speak a Foreign Language,Weekly social media detox,Sleep at least 8 hours ,Duolingo,Listen to podcast,Paint,Maintain strong social connections
28,Male,Freelancer,Save Money,Yoga,Clean for 15 Minutes,Meditate,Read a book for 30 minutes,Affirmations,Playing musical instruments
28,Male,Freelancer,Read a book for 30 minutes,Eat Breakfast,No Sweets,No Coffee,No Screens After 10 pm,Go to gym,Balanced Diet
28,Male,Freelancer,Yoga,Slow-Carb Diet from The 4-Hour Body,Draw,Practice Musical Instrument,Meal preparation for the week – also housewife,Go for a weekly hike,Yoga
28,Male,Freelancer,Clean for 15 Minutes,Intermittent fasting,"Walk 10,000 Steps",Unclutter,Wake up early,Take Vitamins,Rest
28,Male,Freelancer,"Walk 10,000 Steps",Yoga,No Screens After 10 pm,Be Grateful,Daily skincare,Learn Something New,Yoga
28,Male,Freelancer,"Walk 10,000 Steps",Affirmations,Yoga,Be Grateful,Brush Teeth in the Morning,Weekly brunch with friends,Yoga
28,Male,Freelancer,Meal preparation for the week – also housewife,Stretch,Workout,Drink more water,Learn Something New,Intermittent fasting,Drink plenty of water
28,Male,Freelancer,No email before breakfast,Read a book for 30 minutes,No Sugar,Daily skincare,Wake up early,Wake up early,Mindful Eating
28,Male,Freelancer,Stretch,Eat More Vegetables and Fruits,Learn Something New,Write Three Positive Things About Today,Meditate,Yoga,Reading
28,Male,Freelancer,Meditate For At Least 10 Minutes,Meal preparation for the week – also housewife,Sleep by Midnight,No Sugar,Sleep at least 8 hours ,Quality time with my children,Breathing Exercises
28,Male,Freelancer,Weekly social media detox,Drink water first thing in the morning,No Soda,Practice Musical Instrument,Meditate For At Least 10 Minutes,Duolingo,Maintain strong social connections
28,Male,Freelancer,Make Bed,Paint,Meal preparation for the week – also housewife,Wake up early,Duolingo,Practice Musical Instrument,Listen to music and dance
28,Male,Freelancer,Learn To Speak a Foreign Language,Eat More Vegetables and Fruits,No Sweets,Stretch,Quality time with my children,No Sweets,Balanced Diet
28,Male,Freelancer,Eat Breakfast,Learn Something New,Stretch,Write In Journal,Affirmations,Meal preparation for the week – also housewife,Crafting
28,Male,Freelancer,Intermittent fasting,Go for a weekly hike,Affirmations,Stretch,Paint,No email before breakfast,Spend time outdoors
28,Male,Freelancer,Affirmations,Clean for 15 Minutes,No email before breakfast,No Alcohol,Inbox Zero,Eat Breakfast,Avoid excessive alcohol
28,Male,Freelancer,"Walk 10,000 Steps",Wake up early,Meditate,Learn To Speak a Foreign Language,Inbox Zero,Be Grateful,Reading
29,Male,Freelancer,"Walk 10,000 Steps",Stretch,Weekly brunch with friends,Draw,Drink more water,Clean for 15 Minutes,Drink plenty of water
29,Male,Freelancer,Yoga,Practice Musical Instrument,Weekly social media detox,Be Grateful,Listen to podcast,Meditate For At Least 10 Minutes,Maintain strong social connections
29,Male,Worker,Pray,No Sweets,Slow-Carb Diet from The 4-Hour Body,No Smoking,Slow-Carb Diet from The 4-Hour Body,Duolingo,Balanced Diet
29,Male,Worker,No Soda,Exercise,No Screens After 10 pm,Make Bed,Eat Breakfast,Learn Something New,Walking
29,Male,Worker,Yoga,Practice Musical Instrument,Exercise,No Sweets,Pray,Slow-Carb Diet from The 4-Hour Body,Strength training
29,Male,Worker,Drink more water,Daily skincare,Clean for 15 Minutes,Draw,Drink more water,Weekly social media detox,Maintain strong social connections
29,Male,Worker,Brush Teeth in the Morning,Keep in touch with friends,No Screens After 10 pm,Draw,Practice Musical Instrument,Meditate For At Least 10 Minutes,Listen to music and dance
29,Male,Worker,Set priorities for your day,Drink more water,Listen to podcast,Set priorities for your day,No Alcohol,Exercise,Running
29,Male,Worker,Stretch,Duolingo,Listen to podcast,Slow-Carb Diet from The 4-Hour Body,Exercise,Set priorities for your day,Walking
29,Male,Worker,Sleep at least 8 hours ,Practice Musical Instrument,Paint,No Sugar,Eat Breakfast,Eat Breakfast,Listen to music and dance
29,Male,Worker,Listen to podcast,Drink more water,No Soda,Sleep by Midnight,No Sugar,Meditate For At Least 10 Minutes,Drink plenty of water
29,Male,Worker,Gardening- specially housewife & elders,Learn To Speak a Foreign Language,Yoga,Clean for 15 Minutes,Wake up early,Meditate,Puzzles
29,Male,Worker,Be Grateful,Yoga,Go for a weekly hike,Take a walk outside,Practice Musical Instrument,Be Grateful,Yoga
29,Male,Worker,No Alcohol,Save Money,Eat Breakfast,Yoga,Wake up early,Sleep at least 8 hours ,Meditation
29,Female,Worker,Save Money,Save Money,Pray,Weekly social media detox,Draw,Write Three Positive Things About Today,Maintain strong social connections
29,Female,Worker,Go for a weekly hike,No Smoking,Wake up early,Draw,Weekly social media detox,Exercise,Swimming
29,Female,Housewife,Be Grateful,Exercise,Listen to podcast,Go for a weekly hike,No Smoking,Drink water first thing in the morning,Strength training
29,Female,Housewife,Go to gym,Take Vitamins,Watch a TED talk,Drink more water,Take Vitamins,Paint,Drink plenty of water
29,Female,Housewife,Yoga,"Walk 10,000 Steps",Take a walk outside,No Coffee,Slow-Carb Diet from The 4-Hour Body,Eat More Vegetables and Fruits,Yoga
29,Female,Housewife,Take Vitamins,No Sugar,Intermittent fasting,Slow-Carb Diet from The 4-Hour Body,Unclutter,Save Money,Breathing Exercises
29,Female,Housewife,Practice Musical Instrument,Yoga,Yoga,Draw,No Sweets,Make Bed,Balanced Diet
29,Female,Housewife,Make Bed,Floss,Brush Teeth in the Morning,Save Money,Be Grateful,Stretch,Breathing Exercises
29,Female,Housewife,Slow-Carb Diet from The 4-Hour Body,Write Three Positive Things About Today,Read a book for 30 minutes,No Coffee,Meditate For At Least 10 Minutes,Learn Something New,Writing
29,Female,Housewife,Eat Breakfast,Daily skincare,No Screens After 10 pm,Write In Journal,No Alcohol,Write Three Positive Things About Today,Avoid excessive alcohol
29,Female,Housewife,No Soda,Sleep by Midnight,Yoga,No Screens After 10 pm,No Sweets,Eat Breakfast,Balanced Diet
29,Female,Housewife,No Smoking,Practice Musical Instrument,No Smoking,Cook Dinner,Brush Teeth in the Morning,No Smoking,Avoid smoking
29,Female,Housewife,Write Three Positive Things About Today,Eat Breakfast,No Screens After 10 pm,Listen to podcast,No Coffee,Eat Breakfast,Breaks from screens and digital devices
29,Female,Housewife,Drink water first thing in the morning,Daily skincare,No Smoking,Watch a TED talk,Go to gym,Go for a weekly hike,Avoid smoking
29,Female,Housewife,No Screens After 10 pm,Slow-Carb Diet from The 4-Hour Body,Cook Dinner,Clean for 15 Minutes,Wake up early,Practice Musical Instrument,Listen to music and dance
29,Female,Housewife,Be Grateful,No Coffee,Eat More Vegetables and Fruits,Meditate For At Least 10 Minutes,Learn To Speak a Foreign Language,Set priorities for your day,Practice learning a new language
29,Female,Housewife,Draw,Daily skincare,Sleep at least 8 hours ,Workout,No Sugar,Learn Something New,Writing
29,Female,Housewife,Unclutter,No Sugar,Drink water first thing in the morning,Watch a TED talk,No Smoking,Weekly social media detox,Maintain strong social connections
29,Female,Housewife,Listen to podcast,Workout,Stretch,Eat More Vegetables and Fruits,Stretch,Make Bed,Breathing Exercises
29,Female,Housewife,Floss,Listen to podcast,No Sugar,Take Vitamins,No Sugar,Pray,Practice gratitude
29,Female,Housewife,Learn To Speak a Foreign Language,Go to gym,Duolingo,Read a book for 30 minutes,Drink more water,Duolingo,Drink plenty of water
29,Female,Housewife,Floss,Paint,No Soda,No Screens After 10 pm,Sleep at least 8 hours ,Clean for 15 Minutes,Breaks from screens and digital devices
29,Female,Housewife,Sleep at least 8 hours ,Eat More Vegetables and Fruits,Duolingo,Drink water first thing in the morning,Quality time with my children,Exercise,Walking
29,Female,Housewife,Sleep by Midnight,Floss,No Screens After 10 pm,Read a book for 30 minutes,Learn Something New,Take a walk outside,Regular medical check-ups
29,Female,Housewife,Learn To Speak a Foreign Language,Weekly social media detox,No Smoking,Make Bed,Take a walk outside,Drink water first thing in the morning,Maintain strong social connections
29,Female,Housewife,Write In Journal,Unclutter,No Sugar,Slow-Carb Diet from The 4-Hour Body,Weekly social media detox,Meditate,Reading
29,Female,Housewife,No Alcohol,Yoga,Pray,Yoga,Duolingo,Floss,Meditation
29,Female,Housewife,Be Grateful,Practice Musical Instrument,Be Grateful,Save Money,Meditate For At Least 10 Minutes,Take Vitamins,Listen to music and dance
29,Female,Housewife,Eat Breakfast,Read a book for 30 minutes,Keep in touch with friends,Meditate For At Least 10 Minutes,Slow-Carb Diet from The 4-Hour Body,Draw,Mindful Eating
29,Female,Housewife,Duolingo,Brush Teeth in the Morning,Daily skincare,Quality time with my children,No Smoking,Paint,Avoid smoking
29,Female,Housewife,Stretch,Go to gym,Listen to podcast,Watch a TED talk,Slow-Carb Diet from The 4-Hour Body,Floss,Fiber-rich diet
29,Female,Housewife,Stretch,Drink water first thing in the morning,No Screens After 10 pm,Eat More Vegetables and Fruits,Draw,Eat More Vegetables and Fruits,Breaks from screens and digital devices
30,Female,Housewife,Wake up early,Learn Something New,Stretch,Stretch,"Walk 10,000 Steps",No Sugar,Writing
30,Female,Housewife,Floss,Wake up early,Paint,Quality time with my children,Meditate,Be Grateful,Reading
30,Female,Freelancer,Clean for 15 Minutes,No email before breakfast,Drink water first thing in the morning,Meditate,Unclutter,Be Grateful,Playing musical instruments
30,Female,Freelancer,Unclutter,Slow-Carb Diet from The 4-Hour Body,Eat More Vegetables and Fruits,Clean for 15 Minutes,Yoga,Go to gym,Yoga
30,Female,Freelancer,Floss,No Soda,Daily skincare,Drink water first thing in the morning,Go for a weekly hike,No Coffee,Spend time outdoors
30,Female,Freelancer,Write Three Positive Things About Today,Stretch,Weekly social media detox,Stretch,Quality time with my children,Draw,Maintain strong social connections
30,Female,Worker,Make Bed,Duolingo,Meditate,Exercise,No Sugar,Learn Something New,Swimming
30,Female,Worker,Gardening- specially housewife & elders,Write Three Positive Things About Today,Draw,Eat Breakfast,Sleep by Midnight,Affirmations,Breathing Exercises
30,Male,Worker,Go for a weekly hike,Stretch,Practice Musical Instrument,Stretch,Brush Teeth in the Morning,No Soda,Spend time outdoors
30,Male,Worker,Gardening- specially housewife & elders,No Soda,Brush Teeth in the Morning,Set priorities for your day,Stretch,Draw,Breathing Exercises
30,Male,Worker,Learn Something New,Pray,Meditate,Read a book for 30 minutes,Yoga,Daily skincare,Playing musical instruments
30,Male,Worker,Daily skincare,Save Money,No Screens After 10 pm,Write In Journal,Listen to podcast,Workout,Breaks from screens and digital devices
30,Male,Worker,Write In Journal,Draw,Meditate For At Least 10 Minutes,No Screens After 10 pm,Weekly social media detox,Learn To Speak a Foreign Language,Maintain strong social connections
30,Male,Worker,Gardening- specially housewife & elders,Weekly social media detox,Yoga,Eat More Vegetables and Fruits,Meditate For At Least 10 Minutes,No Screens After 10 pm,Maintain strong social connections
30,Male,Worker,Read a book for 30 minutes,Set priorities for your day,Daily skincare,Slow-Carb Diet from The 4-Hour Body,Practice Musical Instrument,Yoga,Yoga
30,Male,Worker,Exercise,No Sugar,No Smoking,No Screens After 10 pm,Duolingo,Go for a weekly hike,Strength training
30,Male,Worker,Keep in touch with friends,Slow-Carb Diet from The 4-Hour Body,Floss,Write In Journal,Slow-Carb Diet from The 4-Hour Body,Wake up early,Exercise
30,Male,Worker,Wake up early,Be Grateful,Affirmations,Drink more water,No Sugar,No Soda,Drink plenty of water
30,Male,Worker,Affirmations,No Alcohol,Write In Journal,Meditate For At Least 10 Minutes,Exercise,Paint,Strength training
30,Male,Worker,Save Money,Affirmations,Drink more water,Workout,Duolingo,No Soda,Drink plenty of water
30,Male,Worker,Eat More Vegetables and Fruits,Slow-Carb Diet from The 4-Hour Body,Eat More Vegetables and Fruits,Practice Musical Instrument,Floss,Duolingo,Listen to music and dance
30,Male,Worker,Daily skincare,Write In Journal,No Sugar,Listen to podcast,No Smoking,Wake up early,Avoid smoking
30,Male,Worker,Take Vitamins,Wake up early,Wake up early,Learn Something New,Draw,Daily skincare,Painting
30,Male,Freelancer,Weekly social media detox,Paint,Read a book for 30 minutes,Exercise,Affirmations,Be Grateful,Swimming
30,Male,Freelancer,Inbox Zero,Duolingo,Write Three Positive Things About Today,Unclutter,Go to gym,Weekly social media detox,Maintain strong social connections
30,Male,Freelancer,Write Three Positive Things About Today,Stretch,Meditate,Paint,Drink water first thing in the morning,Brush Teeth in the Morning,Puzzles
30,Male,Freelancer,Practice Musical Instrument,Stretch,Drink more water,Save Money,Take a walk outside,Weekly social media detox,Maintain strong social connections
30,Male,Freelancer,Bring Lunch to Work,Practice Musical Instrument,Intermittent fasting,Yoga,Intermittent fasting,Practice Musical Instrument,Deep breathing exercises
30,Male,Freelancer,Go to gym,Meditate,Bring Lunch to Work,"Walk 10,000 Steps",Paint,Quality time with my children,Playing musical instruments
30,Male,Freelancer,Eat More Vegetables and Fruits,Yoga,No Coffee,Inbox Zero,Duolingo,Exercise,Running
30,Male,Freelancer,No Smoking,Go for a weekly hike,No Sweets,Listen to podcast,No Screens After 10 pm,Make Bed,Balanced Diet
30,Male,Freelancer,Read a book for 30 minutes,Inbox Zero,Inbox Zero,Slow-Carb Diet from The 4-Hour Body,Write In Journal,Watch a TED talk,Mindful Eating
30,Male,Freelancer,Go for a weekly hike,Eat Breakfast,No email before breakfast,Take a walk outside,Draw,Drink water first thing in the morning,Regular medical check-ups
30,Male,Freelancer,Clean for 15 Minutes,Watch a TED talk,Listen to podcast,Weekly social media detox,No Sugar,No Soda,Maintain strong social connections
30,Male,Freelancer,No Alcohol,No email before breakfast,Wake up early,"Walk 10,000 Steps",No Sugar,Meal preparation for the week – also housewife,Avoid excessive alcohol
31,Male,Freelancer,Write In Journal,Bring Lunch to Work,Set priorities for your day,Keep in touch with friends,Clean for 15 Minutes,Workout,Breathing Exercises
